COST
ORCL
HSIC
CBOE
AEE
MKC
AMT
GL
APTV
DRI
CHD
TFC
FAST
FSLR
CAH
GNRC
EA
TSCO
KDP
KEY
PEG
UNH
ORLY
LVS
CB
MAA
AMGN
WY
DVA
MDLZ
LH
BK
AVY
BLK
ACGL
NFLX
HLT
WM
ED
MTB
APH
MET
ULTA
MA
SLB
CSCO
MTCH
CSX
PTC
CPT
CMCSA
VTRS
KVUE
BEN
DLR
ROP
CBRE
HPE
PYPL
INCY
PHM
VMC
TAP
AME
POOL
PLD
CEG
PGR
XOM
GS
EXC
CCL
CI
J
SHW
ROST
CINF
ABBV
CHTR
ALGN
BIIB
MDT
HPQ
CL
BKR
EFX
GRMN
SYK
ERIE
EQIX
AIZ
STLD
HWM
WDC
MAS
A
PODD
GEV
LIN
LDOS
HRL
META
KMX
CCI
WAT
TKO
SNA
BXP
FITB
BG
FICO
L
DPZ
ALL
SRE
COR
STZ
APO
COO
RF
PRU
IBM
AON
PNC
VZ
MMC
NOC
CDNS
TRV
EMR
HON
ZBRA
IT
GOOG
WDAY
ALLE
PAYX
LULU
AAPL
RJF
PSA
GM
MRNA
HCA
FDS
NEE
NI
IVZ
NDAQ
ADI
AVGO
WBA
IFF
BALL
INTC
URI
K
AVB
EG
ESS
UNP
ETR
CNC
DGX
CMS
MAR
IEX
NOW
TER
VRSN
DAY
PFE
TPL
HIG
EW
MHK
DELL
BKNG
ROL
DOW
CSGP
MU
ICE
HBAN
VRTX
STT
SPG
MCO
BAC
ODFL
AXP
IRM
PNR
OXY
STX
XEL
BA
PAYC
FTNT
PCAR
FTV
GWW
UAL
WFC
ROK
LKQ
TGT
MTD
RMD
JKHY
ISRG
WRB
FE
CZR
KLAC
GD
NDSN
CMG
TJX
EBAY
MSFT
AFL
DG
HST
MPC
ELV
MCHP
PLTR
KHC
DOC
AKAM
UHS
MCD
OTIS
HUBB
LYV
COF
PH
AMP
FOXA
DECK
STE
FI
NCLH
WYNN
SYF
RL
LOW
NVDA
MS
IPG
RTX
ADM
WEC
QCOM
TDG
HSY
FIS
PFG
SNPS
WTW
EL
SYY
REG
KO
FCX
NRG
ACN
DD
GDDY
FFIV
CNP
WSM
LLY
ANSS
CFG
NUE
PWR
REGN
SW
ADSK
ATO
HOLX
CVX
WELL
TPR
DASH
GEHC
AWK
CPB
DXCM
PPG
BX
HAS
GIS
HUM
CRL
BSX
VICI
CAG
KKR
TT
KEYS
BMY
EXPE
WMB
HAL
MO
HES
UDR
ENPH
SMCI
GPC
DFS
O
CRM
RCL
ITW
PNW
MCK
PKG
LUV
CLX
PCG
HD
DHR
CF
EIX
VRSK
MPWR
CTVA
GEN
ANET
BAX
KIM
LEN
WMT
MNST
IR
PSX
TEL
DE
LHX
MLM
BR
WAB
ABT
CTRA
EMN
GOOGL
SPGI
F
JCI
AMAT
RSG
LMT
SO
TSLA
SWKS
NWS
FOX
LYB
AES
SBUX
NWSA
VLO
LW
NXPI
CRWD
CPRT
JBL
LNT
PG
AJG
NVR
FANG
EPAM
NTRS
EXE
COP
JBHT
JNPR
SJM
T
RVTY
ETN
MRK
BDX
MSCI
DHI
MGM
DTE
NKE
CAT
DVN
GILD
WST
AMCR
VTR
EQR
LII
AXON
CMI
TXT
AMZN
NSC
EOG
GE
ARE
INTU
PPL
YUM
DOV
D
JPM
OMC
DLTR
JNJ
ALB
AOS
CTAS
TMO
PANW
MOS
SCHW
TDY
ADBE
NTAP
NEM
PEP
TXN
KMB
BBY
BRO
AIG
DAL
WBD
TTWO
V
USB
CHRW
HII
SBAC
CVS
TRMB
DIS
ZBH
ABNB
KR
MMM
EQT
APD
DUK
EVRG
MOH
TRGP
MKTX
INVH
PM
CME
IP
CPAY
ECL
ADP
CARR
EXR
GPN
C
UPS
PARA
VST
CTSH
AZO
IQV
ON
XYL
SOLV
KMI
UBER
TECH
ES
MSI
AMD
EXPD
TSN
VLTO
GLW
TYL
FDX
TMUS
AEP
SWK
ZTS
FRT
IDXX
OKE
APA
CDW
TROW
LRCX
BLDR
