ticketer,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7
A,8.620905876159668,14.153705596923828,-16.108095169067383,-25.138566970825195,18.236948013305664,21.206424713134766,-7.052496433258057,-2.4755094051361084
AAPL,0.09630981087684631,-0.09323205798864365,0.16312290728092194,-0.03725481778383255,0.3453267216682434,0.008149996399879456,-1.349003791809082,-0.5708194971084595
ABBV,6.29359245300293,-3.247105598449707,-15.03099250793457,-7.419925689697266,-1.9733936786651611,12.594449996948242,18.939443588256836,1.6878201961517334
ABNB,5.837026596069336,-3.1009178161621094,-16.63099479675293,-10.438397407531738,-0.8223171830177307,12.065398216247559,18.389698028564453,-1.092893362045288
ABT,4.133140563964844,-4.330995559692383,-17.098386764526367,-9.9203519821167,-2.54138445854187,12.526639938354492,18.295074462890625,-3.3784122467041016
ACGL,0.7417774200439453,-8.465868949890137,-17.724470138549805,-6.411628246307373,3.2826647758483887,7.646640777587891,14.233707427978516,11.159669876098633
ACN,7.516489028930664,-2.3932976722717285,-16.864709854125977,-6.030665874481201,0.07931584119796753,12.605947494506836,18.926841735839844,2.866297483444214
ADBE,3.124966621398926,-5.089175224304199,-19.023576736450195,-9.67846393585205,0.9601911902427673,10.239653587341309,16.970300674438477,-5.816898345947266
ADI,6.5479512214660645,-3.8560538291931152,-16.738727569580078,-7.970735549926758,-0.7481222748756409,12.35587215423584,19.13711929321289,0.5357882976531982
ADM,7.695530414581299,-3.925650119781494,-19.431344985961914,-6.875236511230469,0.3681880831718445,12.219979286193848,21.247909545898438,4.658551216125488
ADP,5.73075008392334,-4.474939823150635,-18.410755157470703,-8.644230842590332,-0.4962971806526184,12.356539726257324,19.57585906982422,-1.0807347297668457
ADSK,3.651048183441162,-1.320763349533081,-8.267557144165039,-6.198630332946777,-4.870860576629639,9.947529792785645,13.140533447265625,-3.950031042098999
AEE,5.704900741577148,-4.049475193023682,-17.797285079956055,-7.367980480194092,-0.35452800989151,12.942434310913086,17.954885482788086,-2.2942957878112793
AEP,6.767078399658203,-3.6264214515686035,-19.293121337890625,-7.309001922607422,-0.41323500871658325,13.960725784301758,21.573957443237305,6.14078950881958
AES,6.493693828582764,-1.0597410202026367,-17.18075180053711,-4.337178707122803,0.11885613203048706,14.572397232055664,17.03652000427246,0.7825357913970947
AFL,6.091784477233887,-1.632582187652588,-18.97545051574707,-5.279562950134277,1.080322027206421,15.537590026855469,16.71784782409668,-0.7945852279663086
AIG,6.272366046905518,-0.560974657535553,-10.465747833251953,-2.5244102478027344,-1.061081886291504,10.153563499450684,14.857871055603027,2.023653984069824
